,var.features,ID
ENSG00000241860,NA,ENSG00000241860
ENSG00000291215,NA,ENSG00000291215
LINC01409,NA,ENSG00000237491
ENSG00000290784,NA,ENSG00000290784
LINC00115,NA,ENSG00000225880
LINC01128,NA,ENSG00000228794
ENSG00000288531,NA,ENSG00000288531
ENSG00000272438,NA,ENSG00000272438
NOC2L,NA,ENSG00000188976
KLHL17,NA,ENSG00000187961
PLEKHN1,NA,ENSG00000187583
ENSG00000272512,NA,ENSG00000272512
HES4,NA,ENSG00000188290
ISG15,NA,ENSG00000187608
AGRN,NA,ENSG00000188157
ENSG00000291156,NA,ENSG00000291156
C1orf159,NA,ENSG00000131591
TTLL10,NA,ENSG00000162571
SDF4,NA,ENSG00000078808
B3GALT6,NA,ENSG00000176022
UBE2J2,NA,ENSG00000160087
LINC01786,NA,ENSG00000230415
SCNN1D,NA,ENSG00000162572
ACAP3,NA,ENSG00000131584
PUSL1,NA,ENSG00000169972
INTS11,NA,ENSG00000127054
CPTP,NA,ENSG00000224051
DVL1,NA,ENSG00000107404
MXRA8,NA,ENSG00000162576
AURKAIP1,NA,ENSG00000175756
CCNL2,NA,ENSG00000221978
MRPL20-AS1,NA,ENSG00000224870
MRPL20,NA,ENSG00000242485
MRPL20-DT,NA,ENSG00000272455
ANKRD65,NA,ENSG00000235098
TMEM88B,NA,ENSG00000205116
VWA1,NA,ENSG00000179403
ATAD3C,NA,ENSG00000215915
ATAD3B,NA,ENSG00000160072
ATAD3A,NA,ENSG00000197785
TMEM240,NA,ENSG00000205090
SSU72,NA,ENSG00000160075
ENSG00000272106,NA,ENSG00000272106
MIB2,NA,ENSG00000197530
MMP23B,NA,ENSG00000189409
CDK11B,NA,ENSG00000248333
SLC35E2B,NA,ENSG00000189339
CDK11A,NA,ENSG00000008128
ENSG00000290854,NA,ENSG00000290854
NADK,NA,ENSG00000008130
GNB1,NA,ENSG00000078369
CALML6,NA,ENSG00000169885
CFAP74,NA,ENSG00000142609
GABRD,NA,ENSG00000187730
PRKCZ,NA,ENSG00000067606
FAAP20,NA,ENSG00000162585
ENSG00000234396,NA,ENSG00000234396
SKI,NA,ENSG00000157933
MORN1,NA,ENSG00000116151
RER1,NA,ENSG00000157916
PEX10,NA,ENSG00000157911
PLCH2,NA,ENSG00000149527
PANK4,NA,ENSG00000157881
HES5,NA,ENSG00000197921
ENSG00000272449,NA,ENSG00000272449
TNFRSF14-AS1,NA,ENSG00000238164
TNFRSF14,NA,ENSG00000157873
TTC34,NA,ENSG00000215912
PRDM16-DT,NA,ENSG00000177133
PRDM16,NA,ENSG00000142611
ARHGEF16,NA,ENSG00000130762
MEGF6,NA,ENSG00000162591
ENSG00000238260,NA,ENSG00000238260
TPRG1L,NA,ENSG00000158109
WRAP73,NA,ENSG00000116213
TP73,NA,ENSG00000078900
LRRC47,NA,ENSG00000130764
CEP104,NA,ENSG00000116198
DFFB,NA,ENSG00000169598
C1orf174,NA,ENSG00000198912
LINC01134,NA,ENSG00000236423
LINC02780,NA,ENSG00000284668
AJAP1,NA,ENSG00000196581
ENSG00000236948,ENSG00000236948,ENSG00000236948
ENSG00000289893,NA,ENSG00000289893
NPHP4,NA,ENSG00000131697
KCNAB2,NA,ENSG00000069424
CHD5,CHD5,ENSG00000116254
RPL22,NA,ENSG00000116251
RNF207,NA,ENSG00000158286
ICMT,NA,ENSG00000116237
GPR153,NA,ENSG00000158292
ACOT7,NA,ENSG00000097021
HES2,NA,ENSG00000069812
ESPN,NA,ENSG00000187017
TNFRSF25,NA,ENSG00000215788
PLEKHG5,NA,ENSG00000171680
NOL9,NA,ENSG00000162408
TAS1R1,NA,ENSG00000173662
ZBTB48,NA,ENSG00000204859
KLHL21,NA,ENSG00000162413
PHF13,NA,ENSG00000116273
