regionID,Final_abb,region_abb,Region_layer_1,Region_layer_2,Region_layer_3,Region_layer_4,Region_layer_5,Origin,Ding_Atlas_ID,Other notes,
1,HIP,Hip-EC,hippocampus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12171, 12173, 12174","Head, body, tail of hippocampus",
2,AMY,Amygdala,amygdala,Temporal Lobe,Subcortical regions,Subcortical Region,Telencephalon,Forebrain,"10361, 10362",amygdalohippocampal area,
3,LG,Lingual-gyrus,lingual gyrus,Occipital Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12151,,
4,INS,Insula,insula,Insula Cortex,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,10330,temporal agranular insular cortex (area TI),
5,PCC,PCC,posterior cingulate cortex,Cingulate Cortex,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12158,,
6,IPL-SMG,IPL-SMG,inferior parietal lobule,Parietal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12133,suprapariental lobule,
7,OFC,OFC,orbitofrontal cortex,Frontal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12118, 12119",,
8,STG,STG,superior temporal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12140,,
9,ITG,ITG,inferior temporal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12142,,
10,LTG,LTG,lateral temporal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12140, 12141, 12142",,
11,IFG,IFG,inferior frontal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12118, 12119",,
12,CUN,Cuneus,cuneus,Occipital Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12150,,
13,ACC,ACC,anterior cingulate cortex,Cingulate Cortex,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12157,,
14,LOC,LOC,lateral occipital cortex,Occipital Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12150,,
15,SPL,SPL,superior parietal lobule,Parietal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12133,supraparietal lobule,
16,SFG-rmPFC,SFG-rmPFC,superior frontal gyrus and rostromedial,Frontal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12115,superior frontal gyrus,
17,DLPFC,DLPFC,dorsolateral prefrontal cortex,Frontal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12115,superior frontal gyrus,
18,PONS,Pons,pons,Pons,Pons,Brain Stem and Spinal Cord,Rhombencephalon,Hindbrain,12405,basilar part of pons,
19,CB,CB,cerebellum,Cerebellum,Cerebellum,Cerebellum,Rhombencephalon,Hindbrain,"12384, 12390","lateral hemisphere of cerebellum, paravermis of cerebellum",
20,THAL,Thalamus,thalamus,Thalamus,Thalamus,Subcortical Region,Diencephalon,Forebrain,10390,,
21,SC,Spinal-cord,spinal cord,Spinal-Cord,Spinal-Cord,Brain Stem and Spinal Cord,Spinal-Cord,Spinal-Cord,1159954403,central canal of medulla oblongata,
22,MB,Midbrain,midbrain,Midbrain,Midbrain,Subcortical Region,Mesencephalon,Midbrain,12195,midbrain tegmentum,
23,ACA-MCA watershed,Watershed-ACA-MCA,midfrontal anterior watershed,Frontal Lobe,Cerebral Cortex Watershed,Cerebral Cortex Watershed,Telencephalon,Forebrain,12115,none,
24,ACA-MCA watershed white matter,Watershed-White-matter-ACA,white matter anterior watershed,White Matter,White Matter,White Matter,Telencephalon,Forebrain,10557,,
25,MCA-PCA watershed,Watershed-MCA-PCA,posterior watershed,Parietal Lobe,Cerebral Cortex Watershed,Cerebral Cortex Watershed,Telencephalon,Forebrain,12133,none,
26,PVWM,PVWM,periventricular white matter,White Matter,White Matter,White Matter,Telencephalon,Forebrain,10557,,
27,CING,Cingulum,cingulum,White Matter,White Matter,White Matter,Telencephalon,Forebrain,"12157, 12158, 146034872","cingulate gyrus, rostral (anterior) part, cingulate gyrus, caudal (posterior) part, cingulo-parahippocampal isthmus, paracingulate gyrus",white matter of c
28,FX,Fornix,fornix,Fornix,Subcortical regions,Subcortical Region,Telencephalon,Forebrain,10576,,
29,CC,CC,corpus callosum,White Matter,White Matter,White Matter,Telencephalon,Forebrain,10561,,
30,PHG,PHG,parahipocampal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12163, 12167","anterior,  posterior parahippocampal gyrus",
31,EC,EC,entorhinal ctx,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12163, 12167",,
32,SMG,SMG,supramarginal gyrus,Parietal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12135,,
33,FG,Fusiform-gyrus,fusiform gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,"12143, 12152","occipitotemporal (fusiform) gyrus, occipital part, occipitotemporal (fusiform) gyrus, temporal part",
34,PRCU,PRCU,precuneus,Parietal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12137,,
35,MTG,MTG,middle temporal gyrus,Temporal Lobe,Cerebral Cortex,Cerebral Cortex,Telencephalon,Forebrain,12141,,
36,OB,OB,olfactory bulb,Olfactory Bulb,Olfactory Bulb,Olfactory Bulb,Telencephalon,Forebrain,10307,,
37,CP,CP,choroid plexus,Choroid Plexus,Choroid Plexus,Choroid Plexus,Choroid Plexus,Forebrain,NA,none,
38,LEPT,Leptomeninges,leptomeninges,Leptomeninges,Leptomeninges,Leptomeninges,Leptomeninges,Leptomeninges,NA,none,
39,MCA,MCA,middle cerebral artery,Middle cerebral artery,Middle cerebral artery,Major Vessel,Middle cerebral artery,Forebrain,NA,"termporal, frontal",
40,ACA,ACA,anterior cerebral artery,Anterior cerebral artery,Anterior cerebral artery,Major Vessel,Anterior cerebral artery,Forebrain,NA,underspace ,
41,BA,BA.CoW,basilar artery/circle of willis,Basilar artery/Circle of Willis,Basilar artery/Circle of Willis,Major Vessel,Basilar artery/Circle of Willis,Forebrain,NA,border of midbrain,
